file,kannada,roman
c9b_cbf.ogg,ಛಿ,chhi
c9b_cc0.ogg,ಛೀ,chhii
c9b_cc1.ogg,ಛು,chhu
c9b_cc2.ogg,ಛೂ,chhuu
c9b_cc3.ogg,ಛೃ,chhru
c9b_cc6.ogg,ಛೆ,chhe
c9b_cc7.ogg,ಛೇ,chhee
c9b_cc8.ogg,ಛೈ,chhai
c9b_cca.ogg,ಛೊ,chho
c9b_ccb.ogg,ಛೋ,chhoo
c9b_ccc.ogg,ಛೌ,chhau
c9b_c82.ogg,ಛಂ,chham
c9b_c83.ogg,ಛಃ,chhah
c9c_cbe.ogg,ಜಾ,jaa
c9c_cbf.ogg,ಜಿ,ji
c9c_cc0.ogg,ಜೀ,jii
c9c_cc1.ogg,ಜು,ju
c9c_cc2.ogg,ಜೂ,juu
c9c_cc3.ogg,ಜೃ,jru
c9c_cc6.ogg,ಜೆ,je
c9c_cc7.ogg,ಜೇ,jee
c9c_cc8.ogg,ಜೈ,jai
c9c_cca.ogg,ಜೊ,jo
c9c_ccb.ogg,ಜೋ,joo
c9c_ccc.ogg,ಜೌ,jau
c9c_c82.ogg,ಜಂ,jam
c9c_c83.ogg,ಜಃ,jah
c9d_cbe.ogg,ಝಾ,jhaa
c9d_cbf.ogg,ಝಿ,jhi
c9d_cc0.ogg,ಝೀ,jhii
c9d_cc1.ogg,ಝು,jhu
c9d_cc2.ogg,ಝೂ,jhuu
c9d_cc3.ogg,ಝೃ,jhru
c9d_cc6.ogg,ಝೆ,jhe
c9d_cc7.ogg,ಝೇ,jhee
c9d_cc8.ogg,ಝೈ,jhai
c9d_cca.ogg,ಝೊ,jho
c9d_ccb.ogg,ಝೋ,jhoo
c9d_ccc.ogg,ಝೌ,jhau
c9d_c82.ogg,ಝಂ,jham
c9d_c83.ogg,ಝಃ,jhah
c9e_cbe.ogg,ಞಾ,nyaa
c9e_cbf.ogg,ಞಿ,nyi
c9e_cc0.ogg,ಞೀ,nyii
c9e_cc1.ogg,ಞು,nyu
c9e_cc2.ogg,ಞೂ,nyuu
c9e_cc3.ogg,ಞೃ,nyru
c9e_cc6.ogg,ಞೆ,nye
c9e_cc7.ogg,ಞೇ,nyee
c9e_cc8.ogg,ಞೈ,nyai
c9e_cca.ogg,ಞೊ,nyo
c9e_ccb.ogg,ಞೋ,nyoo
c9e_ccc.ogg,ಞೌ,nyau
c9e_c82.ogg,ಞಂ,nyam
c9e_c83.ogg,ಞಃ,nyah
c9f_cbe.ogg,ಟಾ,Taa
c9f_cbf.ogg,ಟಿ,Ti
c9f_cc0.ogg,ಟೀ,Tii
c9f_cc1.ogg,ಟು,Tu
c9f_cc2.ogg,ಟೂ,Tuu
c9f_cc3.ogg,ಟೃ,Tru
c9f_cc6.ogg,ಟೆ,Te
c9f_cc7.ogg,ಟೇ,Tee
c9f_cc8.ogg,ಟೈ,Tai
c9f_cca.ogg,ಟೊ,To
c9f_ccb.ogg,ಟೋ,Too
c9f_ccc.ogg,ಟೌ,Tau
c9f_c82.ogg,ಟಂ,Tam
c9f_c83.ogg,ಟಃ,Tah
ca0_cbe.ogg,ಠಾ,Thaa
ca0_cbf.ogg,ಠಿ,Thi
ca0_cc0.ogg,ಠೀ,Thii
ca0_cc1.ogg,ಠು,Thu
ca0_cc2.ogg,ಠೂ,Thuu
ca0_cc3.ogg,ಠೃ,Thru
ca0_cc6.ogg,ಠೆ,The
ca0_cc7.ogg,ಠೇ,Thee
ca0_cc8.ogg,ಠೈ,Thai
ca0_cca.ogg,ಠೊ,Tho
ca0_ccb.ogg,ಠೋ,Thoo
ca0_ccc.ogg,ಠೌ,Thau
ca0_c82.ogg,ಠಂ,Tham
ca0_c83.ogg,ಠಃ,Thah
ca1_cbe.ogg,ಡಾ,Daa
ca1_cbf.ogg,ಡಿ,Di
ca1_cc0.ogg,ಡೀ,Dii
ca1_cc1.ogg,ಡು,Du
ca1_cc2.ogg,ಡೂ,Duu
ca1_cc3.ogg,ಡೃ,Dru
ca1_cc6.ogg,ಡೆ,De
ca1_cc7.ogg,ಡೇ,Dee
ca1_cc8.ogg,ಡೈ,Dai
ca1_cca.ogg,ಡೊ,Do
ca1_ccb.ogg,ಡೋ,Doo
ca1_ccc.ogg,ಡೌ,Dau
ca1_c82.ogg,ಡಂ,Dam
ca1_c83.ogg,ಡಃ,Dah
ca2_cbe.ogg,ಢಾ,Dhaa
ca2_cbf.ogg,ಢಿ,Dhi
ca2_cc0.ogg,ಢೀ,Dhii
ca2_cc1.ogg,ಢು,Dhu
ca2_cc2.ogg,ಢೂ,Dhuu
ca2_cc3.ogg,ಢೃ,Dhru
ca2_cc6.ogg,ಢೆ,Dhe
ca2_cc7.ogg,ಢೇ,Dhee
ca2_cc8.ogg,ಢೈ,Dhai
ca2_cca.ogg,ಢೊ,Dho
ca2_ccb.ogg,ಢೋ,Dhoo
ca2_ccc.ogg,ಢೌ,Dhau
ca2_c82.ogg,ಢಂ,Dham
ca2_c83.ogg,ಢಃ,Dhah
ca3_cbe.ogg,ಣಾ,Naa
ca3_cbf.ogg,ಣಿ,Ni
ca3_cc0.ogg,ಣೀ,Nii
ca3_cc1.ogg,ಣು,Nu
ca3_cc2.ogg,ಣೂ,Nuu
ca3_cc3.ogg,ಣೃ,Nru
ca3_cc6.ogg,ಣೆ,Ne
ca3_cc7.ogg,ಣೇ,Nee
ca3_cc8.ogg,ಣೈ,Nai
ca3_cca.ogg,ಣೊ,No
ca3_ccb.ogg,ಣೋ,Noo
ca3_ccc.ogg,ಣೌ,Nau
ca3_c82.ogg,ಣಂ,Nam
ca3_c83.ogg,ಣಃ,Nah
ca4_cbe.ogg,ತಾ,taa
ca4_cbf.ogg,ತಿ,ti
ca4_cc0.ogg,ತೀ,tii
ca4_cc1.ogg,ತು,tu
ca4_cc2.ogg,ತೂ,tuu
ca4_cc3.ogg,ತೃ,tru
ca4_cc6.ogg,ತೆ,te
ca4_cc7.ogg,ತೇ,tee
ca4_cc8.ogg,ತೈ,tai
ca4_cca.ogg,ತೊ,to
ca4_ccb.ogg,ತೋ,too
ca4_ccc.ogg,ತೌ,tau
ca4_c82.ogg,ತಂ,tam
ca4_c83.ogg,ತಃ,tah
ca5_cbe.ogg,ಥಾ,thaa
ca5_cbf.ogg,ಥಿ,thi
ca5_cc0.ogg,ಥೀ,thii
ca5_cc1.ogg,ಥು,thu
ca5_cc2.ogg,ಥೂ,thuu
ca5_cc3.ogg,ಥೃ,thru
ca5_cc6.ogg,ಥೆ,the
ca5_cc7.ogg,ಥೇ,thee
ca5_cc8.ogg,ಥೈ,thai
ca5_cca.ogg,ಥೊ,tho
ca5_ccb.ogg,ಥೋ,thoo
ca5_ccc.ogg,ಥೌ,thau
ca5_c82.ogg,ಥಂ,tham
ca5_c83.ogg,ಥಃ,thah
ca6_cbe.ogg,ದಾ,daa
ca6_cbf.ogg,ದಿ,di
ca6_cc0.ogg,ದೀ,dii
ca6_cc1.ogg,ದು,du
ca6_cc2.ogg,ದೂ,duu
ca6_cc3.ogg,ದೃ,dru
ca6_cc6.ogg,ದೆ,de
ca6_cc7.ogg,ದೇ,dee
ca6_cc8.ogg,ದೈ,dai
ca6_cca.ogg,ದೊ,do
ca6_ccb.ogg,ದೋ,doo
ca6_ccc.ogg,ದೌ,dau
ca6_c82.ogg,ದಂ,dam
ca6_c83.ogg,ದಃ,dah
ca7_cbe.ogg,ಧಾ,dhaa
ca7_cbf.ogg,ಧಿ,dhi
ca7_cc0.ogg,ಧೀ,dhii
ca7_cc1.ogg,ಧು,dhu
ca7_cc2.ogg,ಧೂ,dhuu
ca7_cc3.ogg,ಧೃ,dhru
ca7_cc6.ogg,ಧೆ,dhe
ca7_cc7.ogg,ಧೇ,dhee
ca7_cc8.ogg,ಧೈ,dhai
ca7_cca.ogg,ಧೊ,dho
ca7_ccb.ogg,ಧೋ,dhoo
ca7_ccc.ogg,ಧೌ,dhau
ca7_c82.ogg,ಧಂ,dham
ca7_c83.ogg,ಧಃ,dhah
ca8_cbe.ogg,ನಾ,naa
ca8_cbf.ogg,ನಿ,ni
ca8_cc0.ogg,ನೀ,nii
ca8_cc1.ogg,ನು,nu
ca8_cc2.ogg,ನೂ,nuu
ca8_cc3.ogg,ನೃ,nru
ca8_cc6.ogg,ನೆ,ne
ca8_cc7.ogg,ನೇ,nee
ca8_cc8.ogg,ನೈ,nai
ca8_cca.ogg,ನೊ,no
ca8_ccb.ogg,ನೋ,noo
ca8_ccc.ogg,ನೌ,nau
ca8_c82.ogg,ನಂ,nam
ca8_c83.ogg,ನಃ,nah
caa_cbe.ogg,ಪಾ,paa
caa_cbf.ogg,ಪಿ,pi
caa_cc0.ogg,ಪೀ,pii
caa_cc1.ogg,ಪು,pu
caa_cc2.ogg,ಪೂ,puu
caa_cc3.ogg,ಪೃ,pru
caa_cc6.ogg,ಪೆ,pe
caa_cc7.ogg,ಪೇ,pee
caa_cc8.ogg,ಪೈ,pai
caa_cca.ogg,ಪೊ,po
caa_ccb.ogg,ಪೋ,poo
caa_ccc.ogg,ಪೌ,pau
caa_c82.ogg,ಪಂ,pam
caa_c83.ogg,ಪಃ,pah
cab_cbe.ogg,ಫಾ,phaa
cab_cbf.ogg,ಫಿ,phi
cab_cc0.ogg,ಫೀ,phii
cab_cc1.ogg,ಫು,phu
cab_cc2.ogg,ಫೂ,phuu
cab_cc3.ogg,ಫೃ,phru
cab_cc6.ogg,ಫೆ,phe
cab_cc7.ogg,ಫೇ,phee
cab_cc8.ogg,ಫೈ,phai
cab_cca.ogg,ಫೊ,pho
cab_ccb.ogg,ಫೋ,phoo
cab_ccc.ogg,ಫೌ,phau
cab_c82.ogg,ಫಂ,pham
cab_c83.ogg,ಫಃ,phah
cac_cbe.ogg,ಬಾ,baa
cac_cbf.ogg,ಬಿ,bi
cac_cc0.ogg,ಬೀ,bii
cac_cc1.ogg,ಬು,bu
cac_cc2.ogg,ಬೂ,buu
cac_cc3.ogg,ಬೃ,bru
cac_cc6.ogg,ಬೆ,be
cac_cc7.ogg,ಬೇ,bee
cac_cc8.ogg,ಬೈ,bai
cac_cca.ogg,ಬೊ,bo
cac_ccb.ogg,ಬೋ,boo
cac_ccc.ogg,ಬೌ,bau
cac_c82.ogg,ಬಂ,bam
cac_c83.ogg,ಬಃ,bah
cad_cbe.ogg,ಭಾ,bhaa
cad_cbf.ogg,ಭಿ,bhi
cad_cc0.ogg,ಭೀ,bhii
cad_cc1.ogg,ಭು,bhu
cad_cc2.ogg,ಭೂ,bhuu
cad_cc3.ogg,ಭೃ,bhru
cad_cc6.ogg,ಭೆ,bhe
cad_cc7.ogg,ಭೇ,bhee
cad_cc8.ogg,ಭೈ,bhai
cad_cca.ogg,ಭೊ,bho
cad_ccb.ogg,ಭೋ,bhoo
